family,genus,species,lme,uni,mergeLME,fao,level,FB_E_Code,source,type.length,taxo,b,a
Syngnathidae,Nerophis,ophidion,20,Syngnathidae Nerophis ophidion 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,paamiuti,20,Zoarcidae Lycodes paamiuti 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,pallidus,20,Zoarcidae Lycodes pallidus 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,pallidus,22,Zoarcidae Lycodes pallidus 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,pallidus,21,Zoarcidae Lycodes pallidus 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Liparidae,Rhodichthys,regina,20,Liparidae Rhodichthys regina 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Liparidae,Rhodichthys,regina,21,Liparidae Rhodichthys regina 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Callionymidae,Callionymus,reticulatus,22,Callionymidae Callionymus reticulatus 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Callionymidae,Callionymus,reticulatus,21,Callionymidae Callionymus reticulatus 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Gymnelus,retrodorsalis,20,Zoarcidae Gymnelus retrodorsalis 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,rossi,20,Zoarcidae Lycodes rossi 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,rossi,21,Zoarcidae Lycodes rossi 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Gadidae,Boreogadus,saida,20,Gadidae Boreogadus saida 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Gadidae,Boreogadus,saida,21,Gadidae Boreogadus saida 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,seminudus,20,Zoarcidae Lycodes seminudus 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,seminudus,21,Zoarcidae Lycodes seminudus 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Lotidae,Ciliata,septentrionalis,20,Lotidae Ciliata septentrionalis 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Argentinidae,Argentina,silus,20,Argentinidae Argentina silus 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Argentinidae,Argentina,silus,22,Argentinidae Argentina silus 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Argentinidae,Argentina,silus,21,Argentinidae Argentina silus 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Argentinidae,Argentina,sphyraena,22,Argentinidae Argentina sphyraena 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Argentinidae,Argentina,sphyraena,21,Argentinidae Argentina sphyraena 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Argentinidae,Argentina,sphyraena,20,Argentinidae Argentina sphyraena 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Arhynchobatidae,Bathyraja,spinicauda,20,Arhynchobatidae Bathyraja spinicauda 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Arhynchobatidae,Bathyraja,spinicauda,21,Arhynchobatidae Bathyraja spinicauda 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Arhynchobatidae,Bathyraja,spinicauda,22,Arhynchobatidae Bathyraja spinicauda 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,squamiventer,20,Zoarcidae Lycodes squamiventer 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Zoarcidae,Lycodes,squamiventer,21,Zoarcidae Lycodes squamiventer 21,NA,NA,species,NA,NA,NA,NA,3,0.01
Gobiidae,Lesueurigobius,suerii,22,Gobiidae Lesueurigobius suerii 22,NA,NA,species,NA,NA,NA,NA,3,0.01
Gobiidae,Lesueurigobius,suerii,20,Gobiidae Lesueurigobius suerii 20,NA,NA,species,NA,NA,NA,NA,3,0.01
Gobiidae,Lesueurigobius,suerii,21,Gobiidae Lesueurigobius suerii 21,NA,NA,species,NA,NA,NA,NA,3,0.01
