family,genus,species,lme,uni,mergeLME,fao,level,FB_E_Code,source,type.length,taxo,b,a
Triakidae,Galeorhinus,galeus,22,Triakidae Galeorhinus galeus 22,22,27,species,139,fb,TL,spe-Ocean,2.97075711,0.008014286
Myctophidae,Benthosema,glaciale,20,Myctophidae Benthosema glaciale 20,22,27,species,230,fb,TL,fam-LME,2.980000019,0.0051
Myctophidae,Benthosema,glaciale,22,Myctophidae Benthosema glaciale 22,22,27,species,230,fb,TL,fam-LME,2.980000019,0.0051
Myctophidae,Benthosema,glaciale,21,Myctophidae Benthosema glaciale 21,22,27,species,230,fb,TL,fam-LME,2.980000019,0.0051
Myxinidae,Myxine,glutinosa,22,Myxinidae Myxine glutinosa 22,22,27,species,139,fb,TL,spe-Ocean,2.835700035,0.0022
Myxinidae,Myxine,glutinosa,20,Myxinidae Myxine glutinosa 20,22,27,species,139,fb,TL,spe-Ocean,2.835700035,0.0022
Myxinidae,Myxine,glutinosa,21,Myxinidae Myxine glutinosa 21,22,27,species,139,fb,TL,spe-Ocean,2.835700035,0.0022
Zoarcidae,Lycodes,gracilis,20,Zoarcidae Lycodes gracilis 20,22,27,species,139,fb,TL,gen-FAO,4.095699787,1.00E-04
Zoarcidae,Lycodes,gracilis,22,Zoarcidae Lycodes gracilis 22,22,27,species,139,fb,TL,gen-FAO,4.095699787,1.00E-04
Zoarcidae,Lycodes,gracilis,21,Zoarcidae Lycodes gracilis 21,22,27,species,139,fb,TL,gen-FAO,4.095699787,1.00E-04
Pholidae,Pholis,gunnellus,22,Pholidae Pholis gunnellus 22,22,27,species,139,fb,TL,spe-LME,3.017999887,0.0043
Pholidae,Pholis,gunnellus,20,Pholidae Pholis gunnellus 20,22,27,species,139,fb,TL,spe-LME,3.017999887,0.0043
Triglidae,Eutrigla,gurnardus,22,Triglidae Eutrigla gurnardus 22,22,27,species,139,fb,TL,spe-LME,3.159500003,0.00505
Triglidae,Eutrigla,gurnardus,21,Triglidae Eutrigla gurnardus 21,22,27,species,139,fb,TL,spe-LME,3.159500003,0.00505
Triglidae,Eutrigla,gurnardus,20,Triglidae Eutrigla gurnardus 20,22,27,species,139,fb,TL,spe-LME,3.159500003,0.00505
Clupeidae,Clupea,harengus,20,Clupeidae Clupea harengus 20,22,27,species,139,fb,TL,spe-LME,3.16431048,0.005010158
Clupeidae,Clupea,harengus,21,Clupeidae Clupea harengus 21,22,27,species,139,fb,TL,spe-LME,3.16431048,0.005010158
Clupeidae,Clupea,harengus,22,Clupeidae Clupea harengus 22,22,27,species,139,fb,TL,spe-LME,3.16431048,0.005010158
Sternoptychidae,Argyropelecus,hemigymnus,21,Sternoptychidae Argyropelecus hemigymnus 21,22,27,species,235,fb,TL,spe-Ocean,3.589999914,0.0042
Sternoptychidae,Argyropelecus,hemigymnus,22,Sternoptychidae Argyropelecus hemigymnus 22,22,27,species,235,fb,TL,spe-Ocean,3.589999914,0.0042
Pleuronectidae,Reinhardtius,hippoglossoides,20,Pleuronectidae Reinhardtius hippoglossoides 20,22,27,species,233,fb,TL,spe-LME,3.257800102,0.003028
Pleuronectidae,Reinhardtius,hippoglossoides,21,Pleuronectidae Reinhardtius hippoglossoides 21,22,27,species,233,fb,TL,spe-LME,3.257800102,0.003028
Pleuronectidae,Reinhardtius,hippoglossoides,22,Pleuronectidae Reinhardtius hippoglossoides 22,22,27,species,233,fb,TL,spe-LME,3.257800102,0.003028
Pleuronectidae,Hippoglossus,hippoglossus,20,Pleuronectidae Hippoglossus hippoglossus 20,22,27,species,139,fb,TL,spe-LME,3.101000071,0.0203
Pleuronectidae,Hippoglossus,hippoglossus,21,Pleuronectidae Hippoglossus hippoglossus 21,22,27,species,139,fb,TL,spe-LME,3.101000071,0.0203
Pleuronectidae,Hippoglossus,hippoglossus,22,Pleuronectidae Hippoglossus hippoglossus 22,22,27,species,139,fb,TL,spe-LME,3.101000071,0.0203
Ammodytidae,Hyperoplus,immaculatus,22,Ammodytidae Hyperoplus immaculatus 22,22,27,species,139,fb,TL,spe-Ocean,2.835500002,0.006178841
Pleuronectidae,Microstomus,kitt,22,Pleuronectidae Microstomus kitt 22,22,27,species,139,fb,TL,spe-LME,3.044999957,0.00875
Pleuronectidae,Microstomus,kitt,20,Pleuronectidae Microstomus kitt 20,22,27,species,139,fb,TL,spe-LME,3.044999957,0.00875
Pleuronectidae,Microstomus,kitt,21,Pleuronectidae Microstomus kitt 21,22,27,species,139,fb,TL,spe-LME,3.044999957,0.00875
Stichaeidae,Lumpenus,lampretaeformis,20,Stichaeidae Lumpenus lampretaeformis 20,22,27,species,139,fb,TL,spe-Ocean,2.268849969,0.01135
Stichaeidae,Lumpenus,lampretaeformis,22,Stichaeidae Lumpenus lampretaeformis 22,22,27,species,139,fb,TL,spe-Ocean,2.268849969,0.01135
Stichaeidae,Lumpenus,lampretaeformis,21,Stichaeidae Lumpenus lampretaeformis 21,22,27,species,139,fb,TL,spe-Ocean,2.268849969,0.01135
Ammodytidae,Hyperoplus,lanceolatus,22,Ammodytidae Hyperoplus lanceolatus 22,22,27,species,139,fb,TL,spe-Ocean,2.696700096,0.0066
Ammodytidae,Hyperoplus,lanceolatus,20,Ammodytidae Hyperoplus lanceolatus 20,22,27,species,139,fb,TL,spe-Ocean,2.696700096,0.0066
Bothidae,Arnoglossus,laterna,22,Bothidae Arnoglossus laterna 22,22,27,species,139,fb,TL,spe-FAO,3.225749969,0.005265
Cottidae,Micrenophrys,lilljeborgii,20,Cottidae Micrenophrys lilljeborgii 20,22,27,species,139,fb,TL,fam-LME,3.194500029,0.009925
Pleuronectidae,Limanda,limanda,22,Pleuronectidae Limanda limanda 22,22,27,species,139,fb,TL,spe-LME,3.100999975,0.007762
Pleuronectidae,Limanda,limanda,21,Pleuronectidae Limanda limanda 21,22,27,species,139,fb,TL,spe-LME,3.100999975,0.007762
Pleuronectidae,Limanda,limanda,20,Pleuronectidae Limanda limanda 20,22,27,species,139,fb,TL,spe-LME,3.100999975,0.007762
Gobiidae,Crystallogobius,linearis,22,Gobiidae Crystallogobius linearis 22,22,27,species,139,fb,TL,fam-LME,3,0.0111
Cyclopteridae,Cyclopterus,lumpus,22,Cyclopteridae Cyclopterus lumpus 22,22,27,species,139,fb,TL,spe-LME,2.938999891,0.058699999
Cyclopteridae,Cyclopterus,lumpus,20,Cyclopteridae Cyclopterus lumpus 20,22,27,species,139,fb,TL,spe-LME,2.938999891,0.058699999
Cyclopteridae,Cyclopterus,lumpus,21,Cyclopteridae Cyclopterus lumpus 21,22,27,species,139,fb,TL,spe-LME,2.938999891,0.058699999
Anarhichadidae,Anarhichas,lupus,20,Anarhichadidae Anarhichas lupus 20,22,27,species,139,fb,TL,spe-LME,3.11500001,0.006
Anarhichadidae,Anarhichas,lupus,22,Anarhichadidae Anarhichas lupus 22,22,27,species,139,fb,TL,spe-LME,3.11500001,0.006
Anarhichadidae,Anarhichas,lupus,21,Anarhichadidae Anarhichas lupus 21,22,27,species,139,fb,TL,spe-LME,3.11500001,0.006
Gadidae,Trisopterus,luscus,22,Gadidae Trisopterus luscus 22,22,27,species,139,fb,TL,spe-LME,3.179499984,0.0073225
Gadidae,Trisopterus,luscus,21,Gadidae Trisopterus luscus 21,22,27,species,139,fb,TL,spe-LME,3.179499984,0.0073225
Soleidae,Buglossidium,luteum,22,Soleidae Buglossidium luteum 22,22,27,species,139,fb,TL,spe-FAO,3.370000005,0.00499
Callionymidae,Callionymus,lyra,22,Callionymidae Callionymus lyra 22,22,27,species,139,fb,TL,spe-LME,2.677666664,0.0118
Callionymidae,Callionymus,lyra,20,Callionymidae Callionymus lyra 20,22,27,species,139,fb,TL,spe-LME,2.677666664,0.0118
Callionymidae,Callionymus,lyra,21,Callionymidae Callionymus lyra 21,22,27,species,139,fb,TL,spe-LME,2.677666664,0.0118
Myctophidae,Lampanyctus,macdonaldi,20,Myctophidae Lampanyctus macdonaldi 20,22,27,species,232,fb,TL,gen-FAO,2.980000019,0.0051
Lotidae,Gaidropsarus,macrophthalmus,22,Lotidae Gaidropsarus macrophthalmus 22,22,27,species,139,fb,TL,spe-FAO,2.950000048,0.00634
Stichaeidae,Leptoclinus,maculatus,20,Stichaeidae Leptoclinus maculatus 20,22,27,species,139,fb,TL,fam-Ocean,2.731414301,0.039298572
Stichaeidae,Leptoclinus,maculatus,21,Stichaeidae Leptoclinus maculatus 21,22,27,species,139,fb,TL,fam-Ocean,2.731414301,0.039298572
Stichaeidae,Leptoclinus,maculatus,22,Stichaeidae Leptoclinus maculatus 22,22,27,species,139,fb,TL,fam-Ocean,2.731414301,0.039298572
Ammodytidae,Ammodytes,marinus,22,Ammodytidae Ammodytes marinus 22,22,27,species,139,fb,TL,spe-Ocean,3.439500093,0.001
Ammodytidae,Ammodytes,marinus,20,Ammodytidae Ammodytes marinus 20,22,27,species,139,fb,TL,spe-Ocean,3.439500093,0.001
Ammodytidae,Ammodytes,marinus,21,Ammodytidae Ammodytes marinus 21,22,27,species,139,fb,TL,spe-Ocean,3.439500093,0.001
Petromyzontidae,Petromyzon,marinus,22,Petromyzontidae Petromyzon marinus 22,22,27,species,139,fb,TL,spe-Ocean,3,0.00208
Petromyzontidae,Petromyzon,marinus,20,Petromyzontidae Petromyzon marinus 20,22,27,species,139,fb,TL,spe-Ocean,3,0.00208
Scophthalmidae,Scophthalmus,maximus,22,Scophthalmidae Scophthalmus maximus 22,22,27,species,139,fb,TL,spe-LME,3.027888934,0.016391111
Scophthalmidae,Scophthalmus,maximus,20,Scophthalmidae Scophthalmus maximus 20,22,27,species,139,fb,TL,spe-LME,3.027888934,0.016391111
Stichaeidae,Anisarchus,medius,20,Stichaeidae Anisarchus medius 20,22,27,species,232,fb,TL,fam-Ocean,2.731414301,0.039298572
Stichaeidae,Anisarchus,medius,22,Stichaeidae Anisarchus medius 22,22,27,species,232,fb,TL,fam-Ocean,2.731414301,0.039298572
Centrolophidae,Schedophilus,medusophagus,21,Centrolophidae Schedophilus medusophagus 21,22,27,species,228,fb,TL,spe-Ocean,3,0.012321563
Centrolophidae,Schedophilus,medusophagus,20,Centrolophidae Schedophilus medusophagus 20,22,27,species,228,fb,TL,spe-Ocean,3,0.012321563
Centrolophidae,Schedophilus,medusophagus,22,Centrolophidae Schedophilus medusophagus 22,22,27,species,228,fb,TL,spe-Ocean,3,0.012321563
Pentanchidae,Galeus,melastomus,21,Pentanchidae Galeus melastomus 21,22,27,species,139,fb,TL,spe-FAO,3.099000025,0.001992
Pentanchidae,Galeus,melastomus,22,Pentanchidae Galeus melastomus 22,22,27,species,139,fb,TL,spe-FAO,3.099000025,0.001992
Pentanchidae,Galeus,melastomus,20,Pentanchidae Galeus melastomus 20,22,27,species,139,fb,TL,spe-FAO,3.099000025,0.001992
Gadidae,Merlangius,merlangus,22,Gadidae Merlangius merlangus 22,22,27,species,139,fb,TL,spe-LME,3.180499911,0.004825
Gadidae,Merlangius,merlangus,20,Gadidae Merlangius merlangus 20,22,27,species,139,fb,TL,spe-LME,3.180499911,0.004825
Gadidae,Merlangius,merlangus,21,Gadidae Merlangius merlangus 21,22,27,species,139,fb,TL,spe-LME,3.180499911,0.004825
Merlucciidae,Merluccius,merluccius,22,Merlucciidae Merluccius merluccius 22,22,27,species,139,fb,TL,spe-LME,2.981000066,0.008198
Merlucciidae,Merluccius,merluccius,21,Merlucciidae Merluccius merluccius 21,22,27,species,139,fb,TL,spe-LME,2.981000066,0.008198
Merlucciidae,Merluccius,merluccius,20,Merlucciidae Merluccius merluccius 20,22,27,species,139,fb,TL,spe-LME,2.981000066,0.008198
Somniosidae,Somniosus,microcephalus,20,Somniosidae Somniosus microcephalus 20,22,27,species,139,fb,TL,spe-LME,3.213333368,0.019666666
Somniosidae,Somniosus,microcephalus,21,Somniosidae Somniosus microcephalus 21,22,27,species,139,fb,TL,spe-LME,3.213333368,0.019666666
Psychrolutidae,Cottunculus,microps,20,Psychrolutidae Cottunculus microps 20,22,27,species,139,fb,TL,fam-Ocean,3.007250011,0.0202
Psychrolutidae,Cottunculus,microps,22,Psychrolutidae Cottunculus microps 22,22,27,species,139,fb,TL,fam-Ocean,3.007250011,0.0202
Psychrolutidae,Cottunculus,microps,21,Psychrolutidae Cottunculus microps 21,22,27,species,139,fb,TL,fam-Ocean,3.007250011,0.0202
Anarhichadidae,Anarhichas,minor,20,Anarhichadidae Anarhichas minor 20,22,27,species,139,fb,TL,gen-LME,3.11500001,0.006
Anarhichadidae,Anarhichas,minor,22,Anarhichadidae Anarhichas minor 22,22,27,species,139,fb,TL,gen-LME,3.11500001,0.006
Anarhichadidae,Anarhichas,minor,21,Anarhichadidae Anarhichas minor 21,22,27,species,139,fb,TL,gen-LME,3.11500001,0.006
Gobiidae,Aphia,minuta,22,Gobiidae Aphia minuta 22,22,27,species,139,fb,TL,spe-FAO,3.526666661,0.00122425
Gadidae,Trisopterus,minutus,22,Gadidae Trisopterus minutus 22,22,27,species,139,fb,TL,spe-LME,3.026000023,0.0092
Gadidae,Trisopterus,minutus,21,Gadidae Trisopterus minutus 21,22,27,species,139,fb,TL,spe-LME,3.026000023,0.0092
Gadidae,Trisopterus,minutus,20,Gadidae Trisopterus minutus 20,22,27,species,139,fb,TL,spe-LME,3.026000023,0.0092
Lotidae,Molva,molva,20,Lotidae Molva molva 20,22,27,species,139,fb,TL,spe-LME,3.436000109,0.001
Lotidae,Molva,molva,22,Lotidae Molva molva 22,22,27,species,139,fb,TL,spe-LME,3.436000109,0.001
Lotidae,Molva,molva,21,Lotidae Molva molva 21,22,27,species,139,fb,TL,spe-LME,3.436000109,0.001
Chimaeridae,Chimaera,monstrosa,22,Chimaeridae Chimaera monstrosa 22,22,27,species,139,fb,TL,spe-FAO,3.270499945,0.00387
Chimaeridae,Chimaera,monstrosa,20,Chimaeridae Chimaera monstrosa 20,22,27,species,139,fb,TL,spe-FAO,3.270499945,0.00387
Chimaeridae,Chimaera,monstrosa,21,Chimaeridae Chimaera monstrosa 21,22,27,species,139,fb,TL,spe-FAO,3.270499945,0.00387
Rajidae,Raja,montagui,22,Rajidae Raja montagui 22,22,27,species,139,fb,TL,spe-LME,3.311000109,0.00201
Rajidae,Raja,montagui,21,Rajidae Raja montagui 21,22,27,species,139,fb,TL,spe-LME,3.311000109,0.00201
Rajidae,Raja,montagui,20,Rajidae Raja montagui 20,22,27,species,139,fb,TL,spe-LME,3.311000109,0.00201
Gadidae,Gadus,morhua,20,Gadidae Gadus morhua 20,22,27,species,139,fb,TL,spe-LME,3.084400034,0.007182
Gadidae,Gadus,morhua,22,Gadidae Gadus morhua 22,22,27,species,139,fb,TL,spe-LME,3.084400034,0.007182
Gadidae,Gadus,morhua,21,Gadidae Gadus morhua 21,22,27,species,139,fb,TL,spe-LME,3.084400034,0.007182
Sternoptychidae,Maurolicus,muelleri,22,Sternoptychidae Maurolicus muelleri 22,22,27,species,139,fb,TL,spe-Ocean,3.960999966,0.00164
Sternoptychidae,Maurolicus,muelleri,20,Sternoptychidae Maurolicus muelleri 20,22,27,species,139,fb,TL,spe-Ocean,3.960999966,0.00164
Sternoptychidae,Maurolicus,muelleri,21,Sternoptychidae Maurolicus muelleri 21,22,27,species,139,fb,TL,spe-Ocean,3.960999966,0.00164
Cottidae,Triglops,murrayi,22,Cottidae Triglops murrayi 22,22,27,species,139,fb,TL,spe-Ocean,3,0.008803328
Cottidae,Triglops,murrayi,20,Cottidae Triglops murrayi 20,22,27,species,139,fb,TL,spe-Ocean,3,0.008803328
Cottidae,Triglops,murrayi,21,Cottidae Triglops murrayi 21,22,27,species,139,fb,TL,spe-Ocean,3,0.008803328
Rajidae,Leucoraja,naevus,22,Rajidae Leucoraja naevus 22,22,27,species,139,fb,TL,spe-FAO,3.311000029,0.001916667
Lamnidae,Lamna,nasus,22,Lamnidae Lamna nasus 22,22,27,species,139,fb,TL,spe-LME,2.594500065,0.080499999
Rajidae,Dipturus,nidarosiensis,22,Rajidae Dipturus nidarosiensis 22,22,27,species,228,fb,TL,gen-FAO,3.539000034,0.00048
Rajidae,Dipturus,nidarosiensis,21,Rajidae Dipturus nidarosiensis 21,22,27,species,228,fb,TL,gen-FAO,3.539000034,0.00048
Rajidae,Dipturus,nidarosiensis,20,Rajidae Dipturus nidarosiensis 20,22,27,species,228,fb,TL,gen-FAO,3.539000034,0.00048
Scophthalmidae,Phrynorhombus,norvegicus,22,Scophthalmidae Phrynorhombus norvegicus 22,22,27,species,139,fb,TL,spe-FAO,2.904999971,0.016100001
Scophthalmidae,Phrynorhombus,norvegicus,21,Scophthalmidae Phrynorhombus norvegicus 21,22,27,species,139,fb,TL,spe-FAO,2.904999971,0.016100001
Scophthalmidae,Phrynorhombus,norvegicus,20,Scophthalmidae Phrynorhombus norvegicus 20,22,27,species,139,fb,TL,spe-FAO,2.904999971,0.016100001
Gobiidae,Pomatoschistus,norvegicus,22,Gobiidae Pomatoschistus norvegicus 22,22,27,species,139,fb,TL,gen-FAO,3.156666756,0.007553333
Agonidae,Aspidophoroides,olrikii,20,Agonidae Aspidophoroides olrikii 20,22,27,species,232,fb,TL,fam-Ocean,2.814179993,0.01302343
Rajidae,Dipturus,oxyrinchus,21,Rajidae Dipturus oxyrinchus 21,22,27,species,139,fb,TL,spe-FAO,3.539000034,0.00048
Rajidae,Dipturus,oxyrinchus,22,Rajidae Dipturus oxyrinchus 22,22,27,species,139,fb,TL,spe-FAO,3.539000034,0.00048
Rajidae,Dipturus,oxyrinchus,20,Rajidae Dipturus oxyrinchus 20,22,27,species,139,fb,TL,spe-FAO,3.539000034,0.00048
Dasyatidae,Dasyatis,pastinaca,22,Dasyatidae Dasyatis pastinaca 22,22,27,species,235,fb,TL,spe-Ocean,2.732139969,0.03208
Clupeidae,Sardina,pilchardus,22,Clupeidae Sardina pilchardus 22,22,27,species,139,fb,TL,spe-LME,3.058499932,0.00597
Cottidae,Triglops,pingelii,20,Cottidae Triglops pingelii 20,22,27,species,232,fb,TL,gen-Ocean,3,0.008803328
Cottidae,Triglops,pingelii,21,Cottidae Triglops pingelii 21,22,27,species,232,fb,TL,gen-Ocean,3,0.008803328
Cottidae,Triglops,pingelii,22,Cottidae Triglops pingelii 22,22,27,species,232,fb,TL,gen-Ocean,3,0.008803328
Lophiidae,Lophius,piscatorius,22,Lophiidae Lophius piscatorius 22,22,27,species,139,fb,TL,spe-LME,2.813999971,0.0276
Lophiidae,Lophius,piscatorius,21,Lophiidae Lophius piscatorius 21,22,27,species,139,fb,TL,spe-LME,2.813999971,0.0276
Lophiidae,Lophius,piscatorius,20,Lophiidae Lophius piscatorius 20,22,27,species,139,fb,TL,spe-LME,2.813999971,0.0276
Pleuronectidae,Pleuronectes,platessa,22,Pleuronectidae Pleuronectes platessa 22,22,27,species,139,fb,TL,spe-LME,3.120999932,0.00778
Pleuronectidae,Pleuronectes,platessa,20,Pleuronectidae Pleuronectes platessa 20,22,27,species,139,fb,TL,spe-LME,3.120999932,0.00778
Pleuronectidae,Pleuronectes,platessa,21,Pleuronectidae Pleuronectes platessa 21,22,27,species,139,fb,TL,spe-LME,3.120999932,0.00778
Pleuronectidae,Hippoglossoides,platessoides,20,Pleuronectidae Hippoglossoides platessoides 20,22,27,species,139,fb,TL,spe-LME,3.203999996,0.0044
Pleuronectidae,Hippoglossoides,platessoides,22,Pleuronectidae Hippoglossoides platessoides 22,22,27,species,139,fb,TL,spe-LME,3.203999996,0.0044
Pleuronectidae,Hippoglossoides,platessoides,21,Pleuronectidae Hippoglossoides platessoides 21,22,27,species,139,fb,TL,spe-LME,3.203999996,0.0044
Gadidae,Pollachius,pollachius,22,Gadidae Pollachius pollachius 22,22,27,species,139,fb,TL,spe-LME,3.108333349,0.005953333
Gadidae,Pollachius,pollachius,21,Gadidae Pollachius pollachius 21,22,27,species,139,fb,TL,spe-LME,3.108333349,0.005953333
Gadidae,Pollachius,pollachius,20,Gadidae Pollachius pollachius 20,22,27,species,139,fb,TL,spe-LME,3.108333349,0.005953333
Gadidae,Micromesistius,poutassou,20,Gadidae Micromesistius poutassou 20,22,27,species,139,fb,TL,spe-LME,3.082000017,0.00375
Gadidae,Micromesistius,poutassou,22,Gadidae Micromesistius poutassou 22,22,27,species,139,fb,TL,spe-LME,3.082000017,0.00375
Gadidae,Micromesistius,poutassou,21,Gadidae Micromesistius poutassou 21,22,27,species,139,fb,TL,spe-LME,3.082000017,0.00375
Scophthalmidae,Zeugopterus,punctatus,21,Scophthalmidae Zeugopterus punctatus 21,22,27,species,139,fb,TL,spe-LME,3.145999908,0.0139
Scophthalmidae,Zeugopterus,punctatus,22,Scophthalmidae Zeugopterus punctatus 22,22,27,species,139,fb,TL,spe-LME,3.145999908,0.0139
Gasterosteidae,Pungitius,pungitius,20,Gasterosteidae Pungitius pungitius 20,22,27,species,139,fb,TL,spe-Ocean,3.079999924,0.00338
Cottidae,Myoxocephalus,quadricornis,20,Cottidae Myoxocephalus quadricornis 20,22,27,species,104,fb,TL,spe-LME,2.952199936,0.0229
Cottidae,Myoxocephalus,quadricornis,21,Cottidae Myoxocephalus quadricornis 21,22,27,species,104,fb,TL,spe-LME,2.952199936,0.0229
Rajidae,Amblyraja,radiata,22,Rajidae Amblyraja radiata 22,22,27,species,139,fb,TL,spe-FAO,2.190000057,0.157000005
Rajidae,Amblyraja,radiata,20,Rajidae Amblyraja radiata 20,22,27,species,139,fb,TL,spe-FAO,2.190000057,0.157000005
Rajidae,Amblyraja,radiata,21,Rajidae Amblyraja radiata 21,22,27,species,139,fb,TL,spe-FAO,2.190000057,0.157000005
Gadidae,Raniceps,raninus,22,Gadidae Raniceps raninus 22,22,27,species,139,fb,TL,spe-Ocean,3.26699996,0.0062
Gadidae,Raniceps,raninus,20,Gadidae Raniceps raninus 20,22,27,species,139,fb,TL,spe-Ocean,3.26699996,0.0062
Liparidae,Careproctus,ranula,20,Liparidae Careproctus ranula 20,22,27,species,233,fb,TL,gen-LME,3,0.0129
Liparidae,Careproctus,reinhardti,20,Liparidae Careproctus reinhardti 20,22,27,species,232,fb,TL,spe-Ocean,3,0.018145243
Liparidae,Careproctus,reinhardti,21,Liparidae Careproctus reinhardti 21,22,27,species,232,fb,TL,spe-Ocean,3,0.018145243
Liparidae,Careproctus,reinhardti,22,Liparidae Careproctus reinhardti 22,22,27,species,232,fb,TL,spe-Ocean,3,0.018145243
Zoarcidae,Lycodes,reticulatus,20,Zoarcidae Lycodes reticulatus 20,22,27,species,232,fb,TL,gen-FAO,4.095699787,1.00E-04
Zoarcidae,Lycodes,reticulatus,21,Zoarcidae Lycodes reticulatus 21,22,27,species,232,fb,TL,gen-FAO,4.095699787,1.00E-04
Zoarcidae,Lycodes,reticulatus,22,Zoarcidae Lycodes reticulatus 22,22,27,species,232,fb,TL,gen-FAO,4.095699787,1.00E-04
Scophthalmidae,Scophthalmus,rhombus,22,Scophthalmidae Scophthalmus rhombus 22,22,27,species,139,fb,TL,spe-LME,3.035400033,0.014538
Paralepididae,Arctozenus,risso,20,Paralepididae Arctozenus risso 20,22,27,species,139,fb,TL,fam-Ocean,2.94599998,0.00266
Paralepididae,Arctozenus,risso,21,Paralepididae Arctozenus risso 21,22,27,species,139,fb,TL,fam-Ocean,2.94599998,0.00266
Paralepididae,Arctozenus,risso,22,Paralepididae Arctozenus risso 22,22,27,species,139,fb,TL,fam-Ocean,2.94599998,0.00266
Macrouridae,Coryphaenoides,rupestris,22,Macrouridae Coryphaenoides rupestris 22,22,27,species,139,fb,TL,gen-Ocean,2.486699939,0.019685
Macrouridae,Coryphaenoides,rupestris,20,Macrouridae Coryphaenoides rupestris 20,22,27,species,139,fb,TL,gen-Ocean,2.486699939,0.019685
Macrouridae,Coryphaenoides,rupestris,21,Macrouridae Coryphaenoides rupestris 21,22,27,species,139,fb,TL,gen-Ocean,2.486699939,0.019685
Salmonidae,Salmo,salar,20,Salmonidae Salmo salar 20,22,27,species,139,fb,TL,spe-Ocean,2.991630077,0.010717443
Zoarcidae,Lycenchelys,sarsii,20,Zoarcidae Lycenchelys sarsii 20,22,27,species,139,fb,TL,gen-FAO,2.901000023,0.00252
Zoarcidae,Lycenchelys,sarsii,22,Zoarcidae Lycenchelys sarsii 22,22,27,species,139,fb,TL,gen-FAO,2.901000023,0.00252
Centriscidae,Macroramphosus,scolopax,22,Centriscidae Macroramphosus scolopax 22,22,27,species,139,fb,TL,spe-FAO,2.88499999,0.0128
Scombridae,Scomber,scombrus,21,Scombridae Scomber scombrus 21,22,27,species,139,fb,TL,spe-LME,3.062000036,0.006665
Scombridae,Scomber,scombrus,22,Scombridae Scomber scombrus 22,22,27,species,139,fb,TL,spe-LME,3.062000036,0.006665
Scombridae,Scomber,scombrus,20,Scombridae Scomber scombrus 20,22,27,species,139,fb,TL,spe-LME,3.062000036,0.006665
Cottidae,Myoxocephalus,scorpius,20,Cottidae Myoxocephalus scorpius 20,22,27,species,139,fb,TL,spe-LME,3.257000089,0.0083
Cottidae,Myoxocephalus,scorpius,22,Cottidae Myoxocephalus scorpius 22,22,27,species,139,fb,TL,spe-LME,3.257000089,0.0083
Cottidae,Myoxocephalus,scorpius,21,Cottidae Myoxocephalus scorpius 21,22,27,species,139,fb,TL,spe-LME,3.257000089,0.0083
Soleidae,Solea,solea,22,Soleidae Solea solea 22,22,27,species,139,fb,TL,spe-LME,3.066314289,0.007372
Etmopteridae,Etmopterus,spinax,22,Etmopteridae Etmopterus spinax 22,22,27,species,139,fb,TL,spe-FAO,3.13499999,0.002823333
Etmopteridae,Etmopterus,spinax,21,Etmopteridae Etmopterus spinax 21,22,27,species,139,fb,TL,spe-FAO,3.13499999,0.002823333
Etmopteridae,Etmopterus,spinax,20,Etmopteridae Etmopterus spinax 20,22,27,species,139,fb,TL,spe-FAO,3.13499999,0.002823333
Cyclopteridae,Eumicrotremus,spinosus,20,Cyclopteridae Eumicrotremus spinosus 20,22,27,species,233,fb,TL,spe-Ocean,3.255300045,0.029720001
Cyclopteridae,Eumicrotremus,spinosus,22,Cyclopteridae Eumicrotremus spinosus 22,22,27,species,233,fb,TL,spe-Ocean,3.255300045,0.029720001
Cyclopteridae,Eumicrotremus,spinosus,21,Cyclopteridae Eumicrotremus spinosus 21,22,27,species,233,fb,TL,spe-Ocean,3.255300045,0.029720001
Clupeidae,Sprattus,sprattus,22,Clupeidae Sprattus sprattus 22,22,27,species,139,fb,TL,spe-LME,3.220000029,0.0041
Clupeidae,Sprattus,sprattus,21,Clupeidae Sprattus sprattus 21,22,27,species,139,fb,TL,spe-LME,3.220000029,0.0041
Clupeidae,Sprattus,sprattus,20,Clupeidae Sprattus sprattus 20,22,27,species,139,fb,TL,spe-LME,3.220000029,0.0041
Centrophoridae,Centrophorus,squamosus,22,Centrophoridae Centrophorus squamosus 22,22,27,species,235,fb,TL,spe-Ocean,3.263333321,0.002226667
Scyliorhinidae,Scyliorhinus,stellaris,22,Scyliorhinidae Scyliorhinus stellaris 22,22,27,species,139,fb,TL,spe-Ocean,3.167000055,0.002
Mullidae,Mullus,surmuletus,22,Mullidae Mullus surmuletus 22,22,27,species,139,fb,TL,spe-LME,3.193166693,0.007313333
Ammodytidae,Ammodytes,tobianus,22,Ammodytidae Ammodytes tobianus 22,22,27,species,139,fb,TL,spe-FAO,2.559999943,0.0098
Ammodytidae,Ammodytes,tobianus,20,Ammodytidae Ammodytes tobianus 20,22,27,species,139,fb,TL,spe-FAO,2.559999943,0.0098
Carangidae,Trachurus,trachurus,22,Carangidae Trachurus trachurus 22,22,27,species,139,fb,TL,spe-LME,3.135749996,0.0054475
Carangidae,Trachurus,trachurus,21,Carangidae Trachurus trachurus 21,22,27,species,139,fb,TL,spe-LME,3.135749996,0.0054475
